Year,Brand,Model,Other Info
2019,DaihatsuTERIOS,R DLX,1.5
2018,MitsubishiXPANDER,ULTIMATE,1.5
2020,ToyotaAGYA,G TRD,1.2
2018,ToyotaKIJANG INNOVA,REBORN G,2.0
2021,DaihatsuROCKY,R,1.0
2022,ToyotaAGYA,G,1.2
2021,DaihatsuROCKY,R,1.0
2018,MitsubishiXPANDER,ULTIMATE,1.5
2017,SuzukiSX4,S-CROSS,1.5
2015,Mazda2,R SKYACTIV,1.5
2021,HondaCITY,RS HATCHBACK,1.5
2018,MitsubishiXPANDER,ULTIMATE,1.5
2018,ToyotaKIJANG INNOVA,REBORN G,2.0
2018,HondaHR-V,E PLUS,1.5
2016,ToyotaKIJANG INNOVA,V,2.0
2018,MitsubishiXPANDER,ULTIMATE,1.5
2018,HondaBRIO,RS,1.2
2018,MitsubishiXPANDER,ULTIMATE,1.5
