Year,Brand,Model,Other Info
2018,MazdaCX-3,TOURING,2.0
2021,WulingCORTEZ,S T LUX,1.5
2021,HondaCITY,RS HATCHBACK,1.5
2017,SuzukiIGNIS,GX,1.2
2017,ToyotaKIJANG INNOVA,REBORN V,2.0
2013,ToyotaKIJANG INNOVA,V,2.0
2018,ToyotaRUSH,S TRD SPORTIVO,1.5
2018,MitsubishiXPANDER,ULTIMATE,1.5
2018,HondaBRIO,RS,1.2
2018,ToyotaRUSH,S TRD SPORTIVO,1.5
2018,ToyotaYARIS,S TRD,1.5
2018,MitsubishiPAJERO SPORT,DAKAR 4X2,2.4
2018,MitsubishiXPANDER,ULTIMATE,1.5
2019,MitsubishiXPANDER,ULTIMATE,1.5
2018,MitsubishiXPANDER,ULTIMATE,1.5
2021,ToyotaRAIZE,GR SPORT TSS,1.0
2018,MitsubishiXPANDER,ULTIMATE,1.5
2014,ToyotaKIJANG INNOVA,G,2.0
