Year,Brand,Model,Other Info
2019,ToyotaYARIS,G,1.5
2015,DaihatsuTERIOS,X,1.5
2019,DaihatsuAYLA,R,1.2
2017,HondaCR-V,TURBO,1.5
2021,HondaCITY,RS HATCHBACK,1.5
2016,ToyotaKIJANG INNOVA,Q,2.0
2017,DaihatsuAYLA,X,1.0
2019,WulingALMAZ,S+T,1.5
2021,DaihatsuROCKY,R,1.0
2018,HondaBR-V,E PRESTIGE,1.5
2019,HondaHR-V,SE,1.5
2018,HondaHR-V,E,1.5
2013,DaihatsuXENIA,R DLX,1.3
2018,DaihatsuAYLA,R,1.2
2017,ToyotaKIJANG INNOVA,REBORN G,2.0
2020,MitsubishiECLIPSE CROSS,ULTIMATE,1.5
2018,HondaHR-V,E PLUS,1.5
2018,MitsubishiXPANDER,ULTIMATE,1.5
