Year,Brand,Model,Other Info
2017,MitsubishiXPANDER,ULTIMATE,1.5
2017,HondaBRIO,SATYA E,1.2
2020,HondaBRIO,RS,1.2
2019,MitsubishiXPANDER,ULTIMATE,1.5
2017,HondaBRIO,RS,1.2
2017,ToyotaKIJANG INNOVA,REBORN VENTURER GASOLINE,2.0
2015,NissanX-TRAIL,,2.5
2019,MazdaCX-5,ELITE,2.5
2015,NissanGRAND LIVINA,SV,1.5
2018,MitsubishiXPANDER,EXCEED,1.5
2017,MitsubishiXPANDER,SPORT,1.5
2020,HondaBRIO,SATYA E,1.2
2017,MazdaCX-5,ELITE,2.5
2019,ToyotaAVANZA,G,1.3
2018,MitsubishiXPANDER,ULTIMATE,1.5
2020,HondaBRIO,RS,1.2
2019,MitsubishiXPANDER,EXCEED,1.5
2014,NissanMARCH,,1.5
