Year,Brand,Model,Other Info
2018,Mercedes-BenzGLA,200 AMG,1.6
2019,ToyotaAGYA,G,1.2
2017,HondaJAZZ,RS,1.5
2021,HondaHR-V,S,1.5
2018,HondaBRIO,SATYA E,1.2
2022,ToyotaAVANZA,G,1.5
2017,DaihatsuAYLA,R DLX,1.2
2019,ToyotaAGYA,G TRD,1.2
2017,HondaCR-V,TURBO,1.5
2018,MitsubishiOUTLANDER SPORT,PX,2.0
2021,WulingALMAZ,RS LT LUX + SC CVT,1.5
2014,ToyotaKIJANG INNOVA,V,2.0
2019,HondaBRIO,SATYA E,1.2
2019,WulingCORTEZ,C T LUX,1.5
2021,SuzukiIGNIS,GX,1.2
2015,HondaMOBILIO,RS,1.5
2018,MitsubishiXPANDER,ULTIMATE,1.5
2015,HondaHR-V,E,1.5
