Year,Brand,Model,Other Info
2019,HondaBRIO,SATYA E,1.2
2019,HondaBRIO,SATYA E,1.2
2019,HondaBRIO,SATYA E,1.2
2013,ToyotaKIJANG INNOVA,G,2.0
2017,SuzukiSX4,S-CROSS,1.5
2017,ToyotaAVANZA,G,1.3
2017,MitsubishiXPANDER,ULTIMATE,1.5
2018,ToyotaRUSH,S TRD SPORTIVO,1.5
2018,MitsubishiXPANDER,ULTIMATE,1.5
2014,HondaJAZZ,RS,1.5
2021,MazdaCX-3,,1.5
2017,ChevroletTRAX,TURBO LTZ,1.4
2016,ToyotaFORTUNER,G,2.4
2019,HondaHR-V,SE,1.5
2019,HondaBRIO,RS,1.2
2017,HondaCR-V,TURBO,1.5
2018,MitsubishiXPANDER,ULTIMATE,1.5
2017,ToyotaKIJANG INNOVA,REBORN VENTURER GASOLINE,2.0
